=== CPU Statistics Log ===
Started: 2025-11-20 00:20:31 (UTC Time)
========================================

[2025-11-20 00:22:31] Global CPU Usage: 38.93% | Cores: 8 | Per-core: [CPU0: 22.22%, CPU1: 35.00%, CPU2: 30.00%, CPU3: 85.71%, CPU4: 26.32%, CPU5: 22.22%, CPU6: 55.00%, CPU7: 35.00%]
[2025-11-20 00:24:31] Global CPU Usage: 9.49% | Cores: 8 | Per-core: [CPU0: 10.53%, CPU1: 9.52%, CPU2: 10.53%, CPU3: 10.00%, CPU4: 5.56%, CPU5: 15.00%, CPU6: 5.26%, CPU7: 9.52%]
[2025-11-20 00:26:31] Global CPU Usage: 19.87% | Cores: 8 | Per-core: [CPU0: 15.00%, CPU1: 25.00%, CPU2: 36.84%, CPU3: 15.79%, CPU4: 10.53%, CPU5: 20.00%, CPU6: 15.79%, CPU7: 20.00%]
[2025-11-20 00:28:31] Global CPU Usage: 3.10% | Cores: 8 | Per-core: [CPU0: 0.00%, CPU1: 5.00%, CPU2: 0.00%, CPU3: 5.00%, CPU4: 0.00%, CPU5: 4.76%, CPU6: 4.76%, CPU7: 5.26%]
[2025-11-20 00:30:31] Global CPU Usage: 15.60% | Cores: 8 | Per-core: [CPU0: 5.26%, CPU1: 9.52%, CPU2: 100.00%, CPU3: 0.00%, CPU4: 0.00%, CPU5: 0.00%, CPU6: 5.00%, CPU7: 5.00%]
[2025-11-20 00:32:31] Global CPU Usage: 2.98% | Cores: 8 | Per-core: [CPU0: 4.76%, CPU1: 0.00%, CPU2: 0.00%, CPU3: 5.00%, CPU4: 9.09%, CPU5: 5.00%, CPU6: 0.00%, CPU7: 0.00%]
[2025-11-20 00:34:31] Global CPU Usage: 17.59% | Cores: 8 | Per-core: [CPU0: 9.52%, CPU1: 9.52%, CPU2: 5.00%, CPU3: 50.00%, CPU4: 9.09%, CPU5: 19.05%, CPU6: 10.00%, CPU7: 28.57%]
[2025-11-20 00:36:31] Global CPU Usage: 19.51% | Cores: 8 | Per-core: [CPU0: 15.79%, CPU1: 18.18%, CPU2: 23.81%, CPU3: 11.11%, CPU4: 38.10%, CPU5: 19.05%, CPU6: 15.79%, CPU7: 14.29%]
[2025-11-20 00:38:31] Global CPU Usage: 4.29% | Cores: 8 | Per-core: [CPU0: 9.09%, CPU1: 10.00%, CPU2: 0.00%, CPU3: 5.00%, CPU4: 0.00%, CPU5: 5.00%, CPU6: 5.26%, CPU7: 0.00%]
[2025-11-20 00:40:31] Global CPU Usage: 64.66% | Cores: 8 | Per-core: [CPU0: 60.00%, CPU1: 61.11%, CPU2: 76.19%, CPU3: 65.00%, CPU4: 60.00%, CPU5: 60.00%, CPU6: 60.00%, CPU7: 75.00%]
[2025-11-20 00:42:31] Global CPU Usage: 23.57% | Cores: 8 | Per-core: [CPU0: 26.32%, CPU1: 25.00%, CPU2: 20.00%, CPU3: 27.27%, CPU4: 25.00%, CPU5: 25.00%, CPU6: 15.00%, CPU7: 25.00%]
